# ALL CHANNELS for ALL REGIONS
# 'map' == channel id == channel number  # (region id) -- channel title 
# 
# Sorted by channel number
# 
map==cbn9==0108 		# (cbgH) -- talkSPORT 
map==cbn9==0108 		# (cbgJ) -- talkSPORT 
map==cbn9==0108 		# (cbgK) -- talkSPORT 
map==cbn9==0108 		# (cbgM) -- talkSPORT 
map==cbn9==0108 		# (cbgN) -- talkSPORT 
map==cbn9==0108 		# (cbgP) -- talkSPORT 
map==cbn9==0108 		# (cbgQ) -- talkSPORT 
map==cbn9==0108 		# (cbgR) -- talkSPORT 
map==cbn9==0108 		# (cbgS) -- talkSPORT 
map==cbn9==0108 		# (cbgT) -- talkSPORT 
map==cbn9==0108 		# (cbgV) -- talkSPORT 
map==cbn9==0108 		# (cbgW) -- talkSPORT 
map==cbn9==0108 		# (cbgX) -- talkSPORT 
map==cbn9==0108 		# (cbgZ) -- talkSPORT 
map==cbn9==0108 		# (cbgY) -- talkSPORT 
map==cbpf==0109 		# (cbfN) -- 95.8 Capital FM 
map==cbpf==0109 		# (cbfP) -- 95.8 Capital FM 
map==cbpf==0109 		# (cbfQ) -- 95.8 Capital FM 
map==cbpf==0109 		# (cbfR) -- 95.8 Capital FM 
